review_id,platform,reviewer_id,product_id,product_name,review_text,rating,category,timestamp,has_usable_text,clean_text,reviewer_id_pseudo,review_datetime,review_year,review_month,review_date
KONGA_6639638_001,Konga,2260698,6639638,itec-65-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639638,Nice tv no issues,5,Electronics,2026-02-04 10:14:18,True,nice tv no issues,USER_0001,2026-02-04 10:14:18,2026,2,2026-02-04
KONGA_6639638_002,Konga,2804386,6639638,itec-65-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639638,Smooth experience Netflix works fine,5,Electronics,2025-06-22 19:50:54,True,smooth experience netflix works fine,USER_0002,2025-06-22 19:50:54,2025,6,2025-06-22
KONGA_6639717_001,Konga,3457018,6639717,itec-itec-50-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639717,Meet expectations ,5,Electronics,2026-01-01 16:23:11,True,meet expectations,USER_0003,2026-01-01 16:23:11,2026,1,2026-01-01
KONGA_6639717_002,Konga,4137042,6639717,itec-itec-50-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639717,Very lovely and working as desired ,4,Electronics,2025-07-26 11:33:09,True,very lovely and working as desired,USER_0004,2025-07-26 11:33:09,2025,7,2025-07-26
KONGA_6639741_001,Konga,1144460,6639741,itec-itec-43-smart-led-full-hd-tv-usb-hdmi-dolby-1920-1080-screen-resolution-one-year-warranty-6639741,Sleek. Efficient. Energy saving. Smart in every sense.,4,Electronics,2025-03-13 13:27:57,True,sleek. efficient. energy saving. smart in every sense.,USER_0005,2025-03-13 13:27:57,2025,3,2025-03-13
KONGA_6300417_001,Konga,461200,6300417,hisense-a4k-43-smart-led-full-hd-tv-with-2-hdmi-2-usb-divx-1-av-black-1year-warranty-6300417,Delivered in good shape,4,Electronics,2024-07-27 16:58:42,True,delivered in good shape,USER_0006,2024-07-27 16:58:42,2024,7,2024-07-27
KONGA_6300417_002,Konga,688494,6300417,hisense-a4k-43-smart-led-full-hd-tv-with-2-hdmi-2-usb-divx-1-av-black-1year-warranty-6300417,Great customer service and the product was delivered on time,5,Electronics,2024-09-08 18:24:54,True,great customer service and the product was delivered on time,USER_0007,2024-09-08 18:24:54,2024,9,2024-09-08
KONGA_6300417_003,Konga,3815913,6300417,hisense-a4k-43-smart-led-full-hd-tv-with-2-hdmi-2-usb-divx-1-av-black-1year-warranty-6300417,Good,4,Electronics,2024-03-26 18:34:17,True,good,USER_0008,2024-03-26 18:34:17,2024,3,2024-03-26
KONGA_6936832_001,Konga,1776291,6936832,itec-43-led-fhd-tv-usb-hdmi-dolby-1920-1080-screen-resolution-6936832,Okay,4,Electronics,2026-03-28 21:12:47,True,okay,USER_0009,2026-03-28 21:12:47,2026,3,2026-03-28
KONGA_6227408_001,Konga,544882,6227408,hisense-55-a6n-uhd-smart-4k-tv-free-wall-bracket-one-year-warranty-6227408,very good TV ,5,Electronics,2025-01-17 06:54:49,True,very good tv,USER_0010,2025-01-17 06:54:49,2025,1,2025-01-17
KONGA_6227408_002,Konga,3849438,6227408,hisense-55-a6n-uhd-smart-4k-tv-free-wall-bracket-one-year-warranty-6227408,Very nice driver,5,Electronics,2024-03-21 08:51:21,True,very nice driver,USER_0011,2024-03-21 08:51:21,2024,3,2024-03-21
KONGA_6305407_001,Konga,2838795,6305407,cerave-facial-moisturizing-lotion-spf-50-for-normal-to-dry-skin-with-3-ceramides-niacinamide-and-vit-e-52ml-6305407,No comment ,5,Beauty,2025-03-18 16:38:47,True,no comment,USER_0012,2025-03-18 16:38:47,2025,3,2025-03-18
KONGA_6304483_001,Konga,1941136,6304483,cerave-hydrating-hyaluronic-acid-serum-with-3-essential-ceramides-hyaluronic-acid-and-vit-b5-30ml-6304483,Love it,5,Beauty,2025-11-08 20:34:25,True,love it,USER_0013,2025-11-08 20:34:25,2025,11,2025-11-08
KONGA_6303051_001,Konga,159401,6303051,cerave-skin-renewing-retinol-serum-with-3-essential-ceramides-and-hyaluronic-acid-30ml-6303051,Fantastic ,5,Beauty,2024-08-05 06:11:54,True,fantastic,USER_0014,2024-08-05 06:11:54,2024,8,2024-08-05
KONGA_6300384_001,Konga,2326202,6300384,la-roche-posay-cicaplast-baume-b5-40ml-6300384,Good!,4,Beauty,2024-10-26 12:15:11,True,good!,USER_0015,2024-10-26 12:15:11,2024,10,2024-10-26
KONGA_6300384_002,Konga,2326202,6300384,la-roche-posay-cicaplast-baume-b5-40ml-6300384,Nice,4,Beauty,2024-12-04 11:09:25,True,nice,USER_0015,2024-12-04 11:09:25,2024,12,2024-12-04
KONGA_6300384_003,Konga,2485748,6300384,la-roche-posay-cicaplast-baume-b5-40ml-6300384,Great,5,Beauty,2026-06-02 13:31:04,True,great,USER_0016,2026-06-02 13:31:04,2026,6,2026-06-02
KONGA_6138374_001,Konga,2168469,6138374,cerave-hydrating-cleanser-for-normal-to-dry-skin-473ml-with-hyaluronic-acid-and-3-essential-ceramides-6138374,This works perfectly and worth it.,5,Beauty,2026-06-12 13:44:16,True,this works perfectly and worth it.,USER_0017,2026-06-12 13:44:16,2026,6,2026-06-12
KONGA_6138374_002,Konga,4230728,6138374,cerave-hydrating-cleanser-for-normal-to-dry-skin-473ml-with-hyaluronic-acid-and-3-essential-ceramides-6138374,,5,Beauty,2026-02-22 17:48:58,False,,USER_0018,2026-02-22 17:48:58,2026,2,2026-02-22
KONGA_6158833_001,Konga,4159701,6158833,cerave-blemish-control-face-cleanser-with-2-salicylic-acid-and-niacinamide-blemish-prone-skin-236ml-6158833,,5,Beauty,2025-11-06 13:53:58,False,,USER_0019,2025-11-06 13:53:58,2025,11,2025-11-06
KONGA_6158833_002,Konga,4220471,6158833,cerave-blemish-control-face-cleanser-with-2-salicylic-acid-and-niacinamide-blemish-prone-skin-236ml-6158833,,4,Beauty,2026-01-27 11:20:15,False,,USER_0020,2026-01-27 11:20:15,2026,1,2026-01-27
