review_id,platform,reviewer_id,reviewer_name,product_id,product_name,review_text,rating,category,timestamp
KONGA_6639638_001,Konga,2260698,Osaretin,6639638,itec-65-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639638,Nice tv no issues,5,Electronics,2026-02-04 10:14:18
KONGA_6639638_002,Konga,2804386,Michael,6639638,itec-65-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639638,Smooth experience Netflix works fine,5,Electronics,2025-06-22 19:50:54
KONGA_6639717_001,Konga,3457018,Lucky,6639717,itec-itec-50-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639717,Meet expectations ,5,Electronics,2026-01-01 16:23:11
KONGA_6639717_002,Konga,4137042,Kayode,6639717,itec-itec-50-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639717,Very lovely and working as desired ,4,Electronics,2025-07-26 11:33:09
KONGA_6639741_001,Konga,1144460,Festus,6639741,itec-itec-43-smart-led-full-hd-tv-usb-hdmi-dolby-1920-1080-screen-resolution-one-year-warranty-6639741,Sleek. Efficient. Energy saving. Smart in every sense.,4,Electronics,2025-03-13 13:27:57
KONGA_6300417_001,Konga,461200,MONSURAT MOTUNRAYO,6300417,hisense-a4k-43-smart-led-full-hd-tv-with-2-hdmi-2-usb-divx-1-av-black-1year-warranty-6300417,Delivered in good shape,4,Electronics,2024-07-27 16:58:42
KONGA_6300417_002,Konga,688494,Solomon,6300417,hisense-a4k-43-smart-led-full-hd-tv-with-2-hdmi-2-usb-divx-1-av-black-1year-warranty-6300417,Great customer service and the product was delivered on time,5,Electronics,2024-09-08 18:24:54
KONGA_6300417_003,Konga,3815913,Kabiru,6300417,hisense-a4k-43-smart-led-full-hd-tv-with-2-hdmi-2-usb-divx-1-av-black-1year-warranty-6300417,Good,4,Electronics,2024-03-26 18:34:17
KONGA_6936832_001,Konga,1776291,Omoruyi,6936832,itec-43-led-fhd-tv-usb-hdmi-dolby-1920-1080-screen-resolution-6936832,Okay,4,Electronics,2026-03-28 21:12:47
KONGA_6227408_001,Konga,544882,Offor,6227408,hisense-55-a6n-uhd-smart-4k-tv-free-wall-bracket-one-year-warranty-6227408,very good TV ,5,Electronics,2025-01-17 06:54:49
