product_id,product_name,category
1840615,Lalique Encre Noire For Men 100ml Edt | Konga,Beauty
4997052,White Care White Care Body Shampoo - 1000ml X 2pcs | Konga,Beauty
5147573,Roushun Skincare Vitamin C Serum - 30ml | Konga,Beauty
5412873,Dexe Hair Dye Shampoo - 10 Sachets | Konga,Beauty
6001340,Perfume Refill Bottle - 5ml -3pcs | Konga,Beauty
6138374,cerave-hydrating-cleanser-for-normal-to-dry-skin-473ml-with-hyaluronic-acid-and-3-essential-ceramides-6138374,Beauty
6158830,cerave-moisturising-lotion-for-dry-to-very-dry-skin-236ml-with-hyaluronic-acid-and-3-essential-ceramides-6158830,Beauty
6158833,cerave-blemish-control-face-cleanser-with-2-salicylic-acid-and-niacinamide-blemish-prone-skin-236ml-6158833,Beauty
6183126,Kakiva Shampoo - 500ML | Konga,Beauty
6265043,la-roche-posay-lipikar-moisturising-balm-ap-m-6265043,Beauty
6300384,la-roche-posay-cicaplast-baume-b5-40ml-6300384,Beauty
6303051,cerave-skin-renewing-retinol-serum-with-3-essential-ceramides-and-hyaluronic-acid-30ml-6303051,Beauty
6304483,cerave-hydrating-hyaluronic-acid-serum-with-3-essential-ceramides-hyaluronic-acid-and-vit-b5-30ml-6304483,Beauty
6305407,cerave-facial-moisturizing-lotion-spf-50-for-normal-to-dry-skin-with-3-ceramides-niacinamide-and-vit-e-52ml-6305407,Beauty
6435521,Nivea Pearl & Beauty Black Pearl Fine Fragrance Antiperspirant Roll-on For Women - 48h - 50ml | Konga,Beauty
6435522,Nivea Pearl & Beauty Black Pearl Fine Fragrance Antiperspirant Roll-on For Women - 48h - 50ml - Pack Of 2 | Konga,Beauty
6460554,Tresemme Shampoo Curl Hydration - 28 Ounce -  828ml | Konga,Beauty
6547995,"Garnier Micellar Cleansing Water, Facial Cleanser, Makeup Remover & Suitable for sensitive skin - 400ml | Konga",Beauty
4453180,Baby Washing Machine | Konga,Electronics
5609036,2pcs Mobile Phone Gaming  L1 R1 Trigger Aiming Fire Button Controller For Iphone/android | Konga,Electronics
5714439,Foldable Desktop Mobile Phone Holder Stand - Black | Konga,Electronics
5954395,"Nokia 3310 - Dual Sim - 2.4"" - Camera - Torch - FM Radio Phone - 1200mAh - Grey | Konga",Electronics
6113601,Smartphone Tripod Stand Holder Adapter | Konga,Electronics
6221517,Huawei Landline Phone - One Sim Card | Konga,Electronics
6227408,hisense-55-a6n-uhd-smart-4k-tv-free-wall-bracket-one-year-warranty-6227408,Electronics
6293000,"Nokia 3310 - Dual Sim - 2.4"" - Camera - Torch - Fm Radio Phone - 1200mah - Grey | Konga",Electronics
6300417,hisense-a4k-43-smart-led-full-hd-tv-with-2-hdmi-2-usb-divx-1-av-black-1year-warranty-6300417,Electronics
6545267,Foldable Mini Washing Machine -4L | Konga,Electronics
6555477,"Bontel A15 Flip Phone - 1.77"" - Dual Sim - Color Display - 1000mAh - Green | Konga",Electronics
6639638,itec-65-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639638,Electronics
6639717,itec-itec-50-smart-uhd-tv-usb-hdmi-dolby-3840-21600-screen-resolution-one-year-warranty-6639717,Electronics
6639741,itec-itec-43-smart-led-full-hd-tv-usb-hdmi-dolby-1920-1080-screen-resolution-one-year-warranty-6639741,Electronics
6642188,Pd 100w Usb-c 18.5-20v To 7.4×0.6 For Hp Laptop - Big Pin | Konga,Electronics
6743199,Gt31 Magnetic Phone Cooler & Semiconductor Radiator For Mobile  Phones + Pair Sleeves | Konga,Electronics
6872149,AEON Aeon Ac Split/1.5hp/asa120j1/r410/with Kit | Konga,Electronics
6936832,itec-43-led-fhd-tv-usb-hdmi-dolby-1920-1080-screen-resolution-6936832,Electronics
3576858,konga-courier-bag-small-bundle-of-20-23cm-x-37cm-3576858,Fashion
4351181,shirt-tucking-stay-4351181,Fashion
5033702,airforce-1-mens-sneakers-white-5033702,Fashion
6556750,bag-closer-sewing-machine-thread-30-pcs-pack-6556750,Fashion
6765843,bag-for-ps5-fat-grey-6765843,Fashion
